X,year,id,relig,jewaj,othjew,jew,relitena,age,spjew,denom,jew16,spjew16,spothjew
21876,1988,1,3,NA,NA,3,NA,56,3,NA,2,2,NA
21884,1988,9,3,NA,NA,2,NA,24,NA,NA,2,NA,NA
21904,1988,29,3,NA,NA,2,NA,NA,2,NA,2,2,NA
21956,1988,81,3,NA,NA,2,NA,35,2,NA,NA,1,NA
21972,1988,97,3,NA,NA,3,NA,67,NA,NA,2,NA,NA
22042,1988,167,3,NA,NA,4,NA,61,NA,NA,4,NA,NA
22055,1988,180,3,NA,NA,4,NA,35,NA,NA,3,NA,NA
22061,1988,186,3,NA,NA,2,NA,40,NA,NA,1,NA,NA
22089,1988,214,3,NA,NA,2,NA,25,NA,NA,2,NA,NA
22091,1988,216,3,NA,NA,2,NA,35,NA,NA,2,NA,NA
22092,1988,217,3,NA,NA,3,NA,30,NA,NA,3,NA,NA
22093,1988,218,3,NA,NA,4,NA,32,NA,NA,2,NA,NA
22128,1988,253,3,NA,NA,2,NA,76,2,NA,3,2,NA
22130,1988,255,3,NA,NA,3,NA,23,NA,NA,3,NA,NA
22133,1988,258,3,NA,NA,3,NA,50,3,NA,3,NA,NA
22141,1988,266,3,NA,NA,3,NA,19,NA,NA,3,NA,NA
22142,1988,267,3,NA,NA,2,NA,37,3,NA,2,3,NA
22143,1988,268,3,NA,NA,2,NA,45,NA,NA,1,NA,NA
22144,1988,269,3,NA,NA,2,NA,18,NA,NA,2,NA,NA
22150,1988,275,3,NA,NA,3,NA,48,3,NA,3,3,NA
22194,1988,319,3,NA,NA,3,NA,63,3,NA,1,1,NA
22195,1988,320,3,NA,NA,2,NA,52,2,NA,1,1,NA
22196,1988,321,3,NA,NA,3,NA,52,NA,NA,3,NA,NA
22197,1988,322,3,NA,NA,1,NA,60,1,NA,1,1,NA
22198,1988,323,3,NA,NA,3,NA,32,2,NA,2,2,NA
22566,1988,691,3,NA,NA,2,NA,46,2,NA,1,1,NA
22569,1988,694,3,NA,NA,2,NA,39,2,NA,2,2,NA
22571,1988,696,3,NA,NA,2,NA,42,2,NA,2,NA,NA
22837,1988,962,3,NA,NA,2,NA,40,NA,NA,2,NA,NA
22975,1988,1100,3,NA,NA,2,NA,71,2,NA,1,2,NA
