X,year,relig,jew,age,spjew,jew16,spjew16,marital
21876,1988,3,3,56,3,2,2,1
21884,1988,3,2,24,NA,2,NA,5
21904,1988,3,2,NA,2,2,2,1
21956,1988,3,2,35,2,NA,1,1
21972,1988,3,3,67,NA,2,NA,2
22042,1988,3,4,61,NA,4,NA,3
22055,1988,3,4,35,NA,3,NA,1
22061,1988,3,2,40,NA,1,NA,1
22089,1988,3,2,25,NA,2,NA,5
22091,1988,3,2,35,NA,2,NA,5
22092,1988,3,3,30,NA,3,NA,5
22093,1988,3,4,32,NA,2,NA,5
22128,1988,3,2,76,2,3,2,1
22130,1988,3,3,23,NA,3,NA,5
22133,1988,3,3,50,3,3,NA,1
22141,1988,3,3,19,NA,3,NA,5
22142,1988,3,2,37,3,2,3,1
22143,1988,3,2,45,NA,1,NA,3
22144,1988,3,2,18,NA,2,NA,5
22150,1988,3,3,48,3,3,3,1
22194,1988,3,3,63,3,1,1,1
22195,1988,3,2,52,2,1,1,1
22196,1988,3,3,52,NA,3,NA,2
22197,1988,3,1,60,1,1,1,1
22198,1988,3,3,32,2,2,2,1
22566,1988,3,2,46,2,1,1,1
22569,1988,3,2,39,2,2,2,1
22571,1988,3,2,42,2,2,NA,1
22837,1988,3,2,40,NA,2,NA,5
22975,1988,3,2,71,2,1,2,1
23375,1989,3,2,53,NA,2,NA,2
23377,1989,3,3,50,NA,NA,NA,2
23378,1989,3,3,18,NA,3,NA,5
23380,1989,3,4,22,NA,2,NA,5
23389,1989,3,3,48,3,4,2,1
23396,1989,3,2,49,2,2,1,1
23407,1989,3,2,42,4,2,2,1
23416,1989,3,3,71,NA,3,NA,3
23426,1989,3,3,41,NA,1,NA,1
23518,1989,3,3,68,3,3,3,1
23618,1989,3,4,34,NA,4,NA,5
23623,1989,3,2,87,NA,2,NA,2
23635,1989,3,3,42,3,1,2,1
23749,1989,3,2,23,NA,2,NA,5
23775,1989,3,4,27,NA,4,NA,5
23801,1989,3,4,76,3,1,3,1
24009,1989,3,3,38,3,3,3,1
24078,1989,3,3,55,NA,2,NA,4
24102,1989,3,3,77,NA,1,NA,2
24293,1989,3,2,72,2,2,2,1
24313,1989,3,4,32,NA,4,NA,5
24335,1989,3,2,42,NA,2,NA,1
24341,1989,3,3,33,NA,3,NA,5
24901,1990,3,2,61,2,1,2,1
24902,1990,3,2,53,2,1,2,1
24903,1990,3,3,68,NA,1,NA,2
24907,1990,3,2,79,NA,2,NA,2
24910,1990,3,4,89,NA,2,NA,2
24911,1990,3,3,76,NA,3,NA,2
24935,1990,3,3,64,NA,2,NA,2
24936,1990,3,1,54,1,1,1,1
24937,1990,3,3,36,3,NA,3,1
24956,1990,3,3,42,NA,3,NA,3
24958,1990,3,4,66,4,4,4,1
24960,1990,3,2,64,2,2,2,1
24981,1990,3,2,84,NA,1,NA,3
25065,1990,3,3,52,3,2,2,1
25120,1990,3,2,58,NA,NA,NA,2
25132,1990,3,3,63,3,3,3,1
25136,1990,3,2,66,NA,2,NA,2
25272,1990,3,3,32,3,NA,3,1
25274,1990,3,2,65,NA,2,NA,1
25497,1990,3,2,42,NA,2,NA,5
25586,1990,3,NA,43,NA,3,NA,3
25765,1990,3,2,73,2,2,2,1
25774,1990,3,2,79,2,1,1,1
25776,1990,3,2,81,NA,2,NA,1
25777,1990,3,3,76,NA,3,NA,1
25829,1990,3,4,38,4,3,NA,1
26187,1990,3,4,36,4,NA,3,1
26267,1991,3,2,32,2,2,2,1
26269,1991,3,2,26,NA,2,NA,5
26275,1991,3,2,64,2,2,1,1
26294,1991,3,3,57,NA,3,NA,1
26300,1991,3,3,44,3,3,2,1
26301,1991,3,3,48,3,3,3,1
